Year	CCAA	Type	Value
2015	comunidad_valenciana	renta_neta_media_por_persona	9098
2015	extremadura	renta_media_por_unidad_de_consumo	12421
2015	extremadura	renta_neta_media_por_persona	8469
2015	galicia	renta_media_por_unidad_de_consumo	15133
2015	galicia	renta_neta_media_por_persona	10212
2015	madrid	renta_media_por_unidad_de_consumo	18593
2015	madrid	renta_neta_media_por_persona	12534
2015	melilla	renta_media_por_unidad_de_consumo	15937
2015	melilla	renta_neta_media_por_persona	10027
2015	murcia	renta_media_por_unidad_de_consumo	11993
2015	murcia	renta_neta_media_por_persona	7924
2015	navarra	renta_media_por_unidad_de_consumo	19715
2015	navarra	renta_neta_media_por_persona	13300
2015	pais_vasco	renta_media_por_unidad_de_consumo	20264
2015	pais_vasco	renta_neta_media_por_persona	13836
2015	rioja	renta_media_por_unidad_de_consumo	16295
2015	rioja	renta_neta_media_por_persona	11132
2015	total_nacional	renta_media_por_unidad_de_consumo	15408
2015	total_nacional	renta_neta_media_por_persona	10419
2016	andalucia	renta_media_por_unidad_de_consumo	12560
2016	andalucia	renta_neta_media_por_persona	8398
2016	aragon	renta_media_por_unidad_de_consumo	17116
2016	aragon	renta_neta_media_por_persona	11649
2016	asturias	renta_media_por_unidad_de_consumo	17241
2016	asturias	renta_neta_media_por_persona	12060
2016	baleares	renta_media_por_unidad_de_consumo	17894
2016	baleares	renta_neta_media_por_persona	12222
2016	canarias	renta_media_por_unidad_de_consumo	12993
2016	canarias	renta_neta_media_por_persona	8702
2016	cantabria	renta_media_por_unidad_de_consumo	15484
2016	cantabria	renta_neta_media_por_persona	10670
2016	castilla_la_mancha	renta_media_por_unidad_de_consumo	13106
2016	castilla_la_mancha	renta_neta_media_por_persona	8731
2016	castilla_leon	renta_media_por_unidad_de_consumo	15645
2016	castilla_leon	renta_neta_media_por_persona	10815
2016	catalunya	renta_media_por_unidad_de_consumo	18828
2016	catalunya	renta_neta_media_por_persona	12660
2016	ceuta	renta_media_por_unidad_de_consumo	14858
2016	ceuta	renta_neta_media_por_persona	9435
2016	comunidad_valenciana	renta_media_por_unidad_de_consumo	13589
2016	comunidad_valenciana	renta_neta_media_por_persona	9265
2016	extremadura	renta_media_por_unidad_de_consumo	12775
2016	extremadura	renta_neta_media_por_persona	8674
2016	galicia	renta_media_por_unidad_de_consumo	15428
2016	galicia	renta_neta_media_por_persona	10439
2016	madrid	renta_media_por_unidad_de_consumo	18709
2016	madrid	renta_neta_media_por_persona	12647
2016	melilla	renta_media_por_unidad_de_consumo	17349
2016	melilla	renta_neta_media_por_persona	10883
2016	murcia	renta_media_por_unidad_de_consumo	12635
2016	murcia	renta_neta_media_por_persona	8273
2016	navarra	renta_media_por_unidad_de_consumo	19697
2016	navarra	renta_neta_media_por_persona	13408
2016	pais_vasco	renta_media_por_unidad_de_consumo	21058
2016	pais_vasco	renta_neta_media_por_persona	14345
2016	rioja	renta_media_por_unidad_de_consumo	16933
2016	rioja	renta_neta_media_por_persona	11589
2016	total_nacional	renta_media_por_unidad_de_consumo	15842
2016	total_nacional	renta_neta_media_por_persona	10708
2017	andalucia	renta_media_por_unidad_de_consumo	13709
2017	andalucia	renta_neta_media_por_persona	9116
2017	aragon	renta_media_por_unidad_de_consumo	17756
2017	aragon	renta_neta_media_por_persona	12110
2017	asturias	renta_media_por_unidad_de_consumo	17547
2017	asturias	renta_neta_media_por_persona	12244
2017	baleares	renta_media_por_unidad_de_consumo	18312
2017	baleares	renta_neta_media_por_persona	12665
2017	canarias	renta_media_por_unidad_de_consumo	13161
2017	canarias	renta_neta_media_por_persona	8863
2017	cantabria	renta_media_por_unidad_de_consumo	16199
2017	cantabria	renta_neta_media_por_persona	11293
2017	castilla_la_mancha	renta_media_por_unidad_de_consumo	13604
2017	castilla_la_mancha	renta_neta_media_por_persona	9045
2017	castilla_leon	renta_media_por_unidad_de_consumo	16300
2017	castilla_leon	renta_neta_media_por_persona	11239
2017	catalunya	renta_media_por_unidad_de_consumo	18957
2017	catalunya	renta_neta_media_por_persona	12712
2017	ceuta	renta_media_por_unidad_de_consumo	15075
2017	ceuta	renta_neta_media_por_persona	9676
2017	comunidad_valenciana	renta_media_por_unidad_de_consumo	14365
2017	comunidad_valenciana	renta_neta_media_por_persona	9801
2017	extremadura	renta_media_por_unidad_de_consumo	12006
2017	extremadura	renta_neta_media_por_persona	8250
2017	galicia	renta_media_por_unidad_de_consumo	15880
2017	galicia	renta_neta_media_por_persona	10753
2017	madrid	renta_media_por_unidad_de_consumo	19314
2017	madrid	renta_neta_media_por_persona	13099
2017	melilla	renta_media_por_unidad_de_consumo	16453
2017	melilla	renta_neta_media_por_persona	10161
2017	murcia	renta_media_por_unidad_de_consumo	13324
2017	murcia	renta_neta_media_por_persona	8702
2017	navarra	renta_media_por_unidad_de_consumo	20022
2017	navarra	renta_neta_media_por_persona	13583
2017	pais_vasco	renta_media_por_unidad_de_consumo	21198
2017	pais_vasco	renta_neta_media_por_persona	14397
2017	rioja	renta_media_por_unidad_de_consumo	17801
2017	rioja	renta_neta_media_por_persona	12131
2017	total_nacional	renta_media_por_unidad_de_consumo	16390
2017	total_nacional	renta_neta_media_por_persona	11074
2018	andalucia	renta_media_por_unidad_de_consumo	13977
2018	andalucia	renta_neta_media_por_persona	9258
2018	aragon	renta_media_por_unidad_de_consumo	17672
2018	aragon	renta_neta_media_por_persona	11990
2018	asturias	renta_media_por_unidad_de_consumo	17343
2018	asturias	renta_neta_media_por_persona	12085
2018	baleares	renta_media_por_unidad_de_consumo	19554
2018	baleares	renta_neta_media_por_persona	13240
2018	canarias	renta_media_por_unidad_de_consumo	13546
2018	canarias	renta_neta_media_por_persona	8964
2018	cantabria	renta_media_por_unidad_de_consumo	16400
2018	cantabria	renta_neta_media_por_persona	11239
2018	castilla_la_mancha	renta_media_por_unidad_de_consumo	14305
2018	castilla_la_mancha	renta_neta_media_por_persona	9533
2018	castilla_leon	renta_media_por_unidad_de_consumo	17264
2018	castilla_leon	renta_neta_media_por_persona	11949
2018	catalunya	renta_media_por_unidad_de_consumo	19791
2018	catalunya	renta_neta_media_por_persona	13338
2018	ceuta	renta_media_por_unidad_de_consumo	14991
2018	ceuta	renta_neta_media_por_persona	9784
2018	comunidad_valenciana	renta_media_por_unidad_de_consumo	15038
2018	comunidad_valenciana	renta_neta_media_por_persona	10232
2018	extremadura	renta_media_por_unidad_de_consumo	12376
2018	extremadura	renta_neta_media_por_persona	8503
2018	galicia	renta_media_por_unidad_de_consumo	16758
2018	galicia	renta_neta_media_por_persona	11239
2018	madrid	renta_media_por_unidad_de_consumo	19648
2018	madrid	renta_neta_media_por_persona	13279
2018	melilla	renta_media_por_unidad_de_consumo	19500
2018	melilla	renta_neta_media_por_persona	12507
2018	murcia	renta_media_por_unidad_de_consumo	14041
2018	murcia	renta_neta_media_por_persona	9111
2018	navarra	renta_media_por_unidad_de_consumo	20094
2018	navarra	renta_neta_media_por_persona	13585
2018	pais_vasco	renta_media_por_unidad_de_consumo	21760
2018	pais_vasco	renta_neta_media_por_persona	14722
2018	rioja	renta_media_por_unidad_de_consumo	17490
2018	rioja	renta_neta_media_por_persona	12029
2018	total_nacional	renta_media_por_unidad_de_consumo	16937
2018	total_nacional	renta_neta_media_por_persona	11412
2019	andalucia	renta_media_por_unidad_de_consumo	13755
2019	andalucia	renta_neta_media_por_persona	9160
2019	aragon	renta_media_por_unidad_de_consumo	18067
2019	aragon	renta_neta_media_por_persona	12300
2019	asturias	renta_media_por_unidad_de_consumo	17868
2019	asturias	renta_neta_media_por_persona	12523
2019	baleares	renta_media_por_unidad_de_consumo	18420
2019	baleares	renta_neta_media_por_persona	12410
2019	canarias	renta_media_por_unidad_de_consumo	14247
2019	canarias	renta_neta_media_por_persona	9487
2019	cantabria	renta_media_por_unidad_de_consumo	17742
2019	cantabria	renta_neta_media_por_persona	12205
2019	castilla_la_mancha	renta_media_por_unidad_de_consumo	14505
2019	castilla_la_mancha	renta_neta_media_por_persona	9715
2019	castilla_leon	renta_media_por_unidad_de_consumo	17233
2019	castilla_leon	renta_neta_media_por_persona	12003
2019	catalunya	renta_media_por_unidad_de_consumo	20049
2019	catalunya	renta_neta_media_por_persona	13527
2019	ceuta	renta_media_por_unidad_de_consumo	16059
2019	ceuta	renta_neta_media_por_persona	10164
2019	comunidad_valenciana	renta_media_por_unidad_de_consumo	15582
2019	comunidad_valenciana	renta_neta_media_por_persona	10611
2019	extremadura	renta_media_por_unidad_de_consumo	12816
2019	extremadura	renta_neta_media_por_persona	8796
2019	galicia	renta_media_por_unidad_de_consumo	16621
2019	galicia	renta_neta_media_por_persona	11218
2019	madrid	renta_media_por_unidad_de_consumo	21030
2019	madrid	renta_neta_media_por_persona	14199
2019	melilla	renta_media_por_unidad_de_consumo	18003
2019	melilla	renta_neta_media_por_persona	11733
2019	murcia	renta_media_por_unidad_de_consumo	13637
2019	murcia	renta_neta_media_por_persona	8956
2019	navarra	renta_media_por_unidad_de_consumo	20697
2019	navarra	renta_neta_media_por_persona	13937
2019	pais_vasco	renta_media_por_unidad_de_consumo	22480
2019	pais_vasco	renta_neta_media_por_persona	15300
2019	rioja	renta_media_por_unidad_de_consumo	18661
2019	rioja	renta_neta_media_por_persona	12697
2019	total_nacional	renta_media_por_unidad_de_consumo	17287
2019	total_nacional	renta_neta_media_por_persona	11680
2020	andalucia	renta_media_por_unidad_de_consumo	14958
2020	andalucia	renta_neta_media_por_persona	9990
2020	aragon	renta_media_por_unidad_de_consumo	19150
2020	aragon	renta_neta_media_por_persona	13097
2020	asturias	renta_media_por_unidad_de_consumo	18028
2020	asturias	renta_neta_media_por_persona	12786
2020	baleares	renta_media_por_unidad_de_consumo	18787
2020	baleares	renta_neta_media_por_persona	12658
2020	canarias	renta_media_por_unidad_de_consumo	14990
2020	canarias	renta_neta_media_por_persona	9935
