Year	CCAA	Type	Value
2014	pais_vasco	indice	93,0933333333
2014	pais_vasco	variacion_anual	-0,7
2014	rioja	indice	93,98425
2014	rioja	variacion_anual	-0,9
2015	andalucia	indice	93,5376666667
2015	andalucia	variacion_anual	0,0
2015	aragon	indice	93,4590833333
2015	aragon	variacion_anual	-0,1
2015	asturias	indice	94,05725
2015	asturias	variacion_anual	-0,2
2015	baleares	indice	93,3425833333
2015	baleares	variacion_anual	0,3
2015	canarias	indice	94,0405833333
2015	canarias	variacion_anual	-0,4
2015	cantabria	indice	93,3793333333
2015	cantabria	variacion_anual	-0,4
2015	castilla_la_mancha	indice	93,2159166667
2015	castilla_la_mancha	variacion_anual	-0,3
2015	castilla_leon	indice	93,0756666667
2015	castilla_leon	variacion_anual	-0,3
2015	catalunya	indice	92,8994166667
2015	catalunya	variacion_anual	0,3
2015	ceuta	indice	95,41125
2015	ceuta	variacion_anual	-0,6
2015	comunidad_valenciana	indice	93,6901666667
2015	comunidad_valenciana	variacion_anual	0,2
2015	extremadura	indice	93,5840833333
2015	extremadura	variacion_anual	-0,3
2015	galicia	indice	93,1469166667
2015	galicia	variacion_anual	-0,2
2015	madrid	indice	93,7213333333
2015	madrid	variacion_anual	0,0
2015	melilla	indice	93,65575
2015	melilla	variacion_anual	-0,3
2015	murcia	indice	94,3558333333
2015	murcia	variacion_anual	-0,1
2015	nacional	indice	93,4115833333
2015	nacional	variacion_anual	0,0
2015	navarra	indice	93,0635833333
2015	navarra	variacion_anual	-0,1
2015	pais_vasco	indice	92,8454166667
2015	pais_vasco	variacion_anual	0,3
2015	rioja	indice	93,6163333333
2015	rioja	variacion_anual	0,1
2016	andalucia	indice	93,3656666667
2016	andalucia	variacion_anual	1,6
2016	aragon	indice	93,2235833333
2016	aragon	variacion_anual	1,6
2016	asturias	indice	93,9551666667
2016	asturias	variacion_anual	1,6
2016	baleares	indice	93,2135833333
2016	baleares	variacion_anual	1,6
2016	canarias	indice	93,8196666667
2016	canarias	variacion_anual	1,3
2016	cantabria	indice	93,0515
2016	cantabria	variacion_anual	1,5
2016	castilla_la_mancha	indice	92,75725
2016	castilla_la_mancha	variacion_anual	1,6
2016	castilla_leon	indice	92,71825
2016	castilla_leon	variacion_anual	1,6
2016	catalunya	indice	92,9559166667
2016	catalunya	variacion_anual	1,9
2016	ceuta	indice	95,2609166667
2016	ceuta	variacion_anual	1,1
2016	comunidad_valenciana	indice	93,2635833333
2016	comunidad_valenciana	variacion_anual	1,3
2016	extremadura	indice	93,3513333333
2016	extremadura	variacion_anual	1,5
2016	galicia	indice	92,8639166667
2016	galicia	variacion_anual	1,6
2016	madrid	indice	93,47525
2016	madrid	variacion_anual	1,4
2016	melilla	indice	93,5803333333
2016	melilla	variacion_anual	1,4
2016	murcia	indice	94,1586666667
2016	murcia	variacion_anual	1,6
2016	nacional	indice	93,2223333333
2016	nacional	variacion_anual	1,6
2016	navarra	indice	93,087
2016	navarra	variacion_anual	1,8
2016	pais_vasco	indice	92,8585
2016	pais_vasco	variacion_anual	1,5
2016	rioja	indice	93,28625
2016	rioja	variacion_anual	1,5
2017	andalucia	indice	95,1825833333
2017	andalucia	variacion_anual	1,1
2017	aragon	indice	94,9098333333
2017	aragon	variacion_anual	0,9
2017	asturias	indice	95,62825
2017	asturias	variacion_anual	0,9
2017	baleares	indice	95,19775
2017	baleares	variacion_anual	1,3
2017	canarias	indice	95,5059166667
2017	canarias	variacion_anual	1,1
2017	cantabria	indice	94,8928333333
2017	cantabria	variacion_anual	1,2
