Year	CCAA	Type	Value
2018	catalunya	so2	2.388285878594943
2018	ceuta	co	0.2625283266947678
2018	ceuta	no2	20.0
2018	ceuta	o3	60.0
2018	ceuta	pm10	15.0
2018	ceuta	pm25	8.0
2018	ceuta	so2	0.4475236878945454
2018	comunidad_valenciana	co	1.2000561596435262
2018	comunidad_valenciana	no2	5.999095851375294
2018	comunidad_valenciana	o3	33.960751180979976
2018	comunidad_valenciana	pm10	13.102011170652403
2018	comunidad_valenciana	pm25	36.56919387716323
2018	comunidad_valenciana	so2	1.6808456723568626
2018	extremadura	co	0.8574467794121197
2018	extremadura	no2	5.209594981973154
2018	extremadura	o3	20.554758376097958
2018	extremadura	pm10	13.1025
2018	extremadura	pm25	26.128891772019468
2018	extremadura	so2	1.4616622508014494
2018	galicia	co	1.195904151432939
2018	galicia	no2	7.042947973313151
2018	galicia	o3	26.1245797685756
2018	galicia	pm10	22.283730432754567
2018	galicia	pm25	40.93972609360626
2018	galicia	so2	2.697026729066626
2018	madrid	co	1.4328127493695428
2018	madrid	no2	15.46767836258646
2018	madrid	o3	33.58889870690803
2018	madrid	pm10	17.66256114932875
2018	madrid	pm25	43.66196265092331
2018	madrid	so2	1.9204579542549955
2018	melilla	co	0.2
2018	melilla	no2	5.0
2018	melilla	o3	60.0
2018	melilla	pm10	52.0
2018	melilla	pm25	14.0
2018	melilla	so2	2.0
2018	murcia	co	1.443099477013887
2018	murcia	no2	7.768037491192659
2018	murcia	o3	38.605692884650416
2018	murcia	pm10	18.133355309284358
2018	murcia	pm25	43.97542909544315
2018	murcia	so2	2.892375388803422
2018	navarra	co	0.9826935042089835
2018	navarra	no2	3.352127821792332
2018	navarra	o3	32.80895414828661
2018	navarra	pm10	13.467013239300208
2018	navarra	pm25	29.945522956127345
2018	navarra	so2	1.9247629771882397
2018	pais_vasco	co	1.2530094521885558
2018	pais_vasco	no2	7.939322455801628
2018	pais_vasco	o3	25.53679364295148
2018	pais_vasco	pm10	16.172807221586897
2018	pais_vasco	pm25	38.18283437719495
2018	pais_vasco	so2	1.9832310345726054
2018	rioja	co	1.105951742319523
2018	rioja	no2	8.879652803636231
