Year	CCAA	Value
1996	castilla_la_mancha	1707702
1996	castilla_leon	2512008
1996	catalunya	6184328
1996	ceuta	69735
1996	comunidad_valenciana	3996734
1996	extremadura	1064700
1996	galicia	2722355
1996	madrid	5157603
1996	melilla	61381
1996	murcia	1114394
1996	navarra	534844
1996	pais_vasco	2094857
1996	rioja	269078
1996	total_nacional	39808374
1997	andalucia	7186526
1997	aragon	1198245
1997	asturias	1079198
1997	baleares	780019
1997	canarias	1604650
1997	cantabria	531994
1997	castilla_la_mancha	1716289
1997	castilla_leon	2502823
1997	catalunya	6208372
1997	ceuta	69990
1997	comunidad_valenciana	4022992
1997	extremadura	1063882
1997	galicia	2717003
1997	madrid	5198753
1997	melilla	62267
1997	murcia	1128146
1997	navarra	538100
1997	pais_vasco	2091894
1997	rioja	270184
1997	total_nacional	39971329
1998	andalucia	7221920
1998	aragon	1199172
1998	asturias	1076012
1998	baleares	792343
1998	canarias	1622822
1998	cantabria	532564
1998	castilla_la_mancha	1725584
1998	castilla_leon	2494206
1998	catalunya	6233351
1998	ceuta	70311
1998	comunidad_valenciana	4049388
1998	extremadura	1062980
1998	galicia	2712444
1998	madrid	5242444
1998	melilla	63143
1998	murcia	1142030
1998	navarra	541557
1998	pais_vasco	2089757
1998	rioja	271423
1998	total_nacional	40143449
1999	andalucia	7253141
1999	aragon	1199699
1999	asturias	1072219
1999	baleares	804754
1999	canarias	1640341
1999	cantabria	532996
1999	castilla_la_mancha	1733813
1999	castilla_leon	2483618
1999	catalunya	6257793
1999	ceuta	70547
1999	comunidad_valenciana	4076380
1999	extremadura	1061607
1999	galicia	2707901
1999	madrid	5284618
1999	melilla	63989
1999	murcia	1155675
1999	navarra	544948
1999	pais_vasco	2086864
1999	rioja	272665
1999	total_nacional	40303568
2000	andalucia	7285993
2000	aragon	1200200
2000	asturias	1068287
2000	baleares	817313
2000	canarias	1659062
2000	cantabria	533417
2000	castilla_la_mancha	1742456
2000	castilla_leon	2472869
2000	catalunya	6283101
2000	ceuta	70855
2000	comunidad_valenciana	4103816
2000	extremadura	1060030
2000	galicia	2702471
2000	madrid	5329606
2000	melilla	64851
2000	murcia	1169114
2000	navarra	548379
2000	pais_vasco	2084535
2000	rioja	273828
2000	total_nacional	40470182
2001	andalucia	7323031
2001	aragon	1202015
2001	asturias	1064851
2001	baleares	830428
2001	canarias	1677983
2001	cantabria	534231
2001	castilla_la_mancha	1752002
2001	castilla_leon	2463479
2001	catalunya	6314849
2001	ceuta	71183
2001	comunidad_valenciana	4135183
2001	extremadura	1059011
2001	galicia	2698025
2001	madrid	5379087
2001	melilla	65725
2001	murcia	1184118
2001	navarra	552060
2001	pais_vasco	2082971
2001	rioja	275313
2001	total_nacional	40665545
2002	andalucia	7391401
2002	aragon	1209917
2002	asturias	1062796
2002	baleares	845130
2002	canarias	1703846
2002	cantabria	536289
2002	castilla_la_mancha	1763493
2002	castilla_leon	2454840
2002	catalunya	6380503
2002	ceuta	70874
2002	comunidad_valenciana	4192287
2002	extremadura	1057795
2002	galicia	2696818
2002	madrid	5478405
2002	melilla	65901
2002	murcia	1206619
2002	navarra	557454
2002	pais_vasco	2082911
2002	rioja	277993
2002	total_nacional	41035271
2003	andalucia	7490858
2003	aragon	1225563
2003	asturias	1062320
2003	baleares	883410
2003	canarias	1755693
2003	cantabria	541645
2003	castilla_la_mancha	1797142
2003	castilla_leon	2463623
2003	catalunya	6556909
2003	ceuta	71110
2003	comunidad_valenciana	4322063
2003	extremadura	1060356
2003	galicia	2705158
2003	madrid	5638827
2003	melilla	65390
2003	murcia	1242632
2003	navarra	567888
2003	pais_vasco	2092640
2003	rioja	284609
2003	total_nacional	41827836
2004	andalucia	7596513
2004	aragon	1237793
2004	asturias	1062408
2004	baleares	912964
2004	canarias	1804255
2004	cantabria	548009
2004	castilla_la_mancha	1833549
2004	castilla_leon	2471114
2004	catalunya	6712745
2004	ceuta	71542
2004	comunidad_valenciana	4441947
2004	extremadura	1064374
2004	galicia	2711578
2004	madrid	5766566
2004	melilla	64754
2004	murcia	1276812
2004	navarra	576346
2004	pais_vasco	2103103
2004	rioja	291082
2004	total_nacional	42547454
2005	andalucia	7730705
2005	aragon	1255078
2005	asturias	1062755
2005	baleares	940124
2005	canarias	1853155
2005	cantabria	554690
2005	castilla_la_mancha	1874004
2005	castilla_leon	2482805
2005	catalunya	6870818
2005	ceuta	71983
2005	comunidad_valenciana	4567166
2005	extremadura	1070094
2005	galicia	2720679
2005	madrid	5866186
2005	melilla	64914
2005	murcia	1313496
2005	navarra	584367
2005	pais_vasco	2115262
2005	rioja	298050
2005	total_nacional	43296335
2006	andalucia	7865775
2006	aragon	1273568
2006	asturias	1063488
2006	baleares	970288
2006	canarias	1899609
2006	cantabria	561042
2006	castilla_la_mancha	1917447
2006	castilla_leon	2494676
2006	catalunya	7010868
2006	ceuta	72806
2006	comunidad_valenciana	4681039
2006	extremadura	1074930
2006	galicia	2730097
2006	madrid	5953604
2006	melilla	67110
2006	murcia	1351109
2006	navarra	592146
2006	pais_vasco	2127670
2006	rioja	302697
2006	total_nacional	44009969
2007	andalucia	7986597
2007	aragon	1294246
2007	asturias	1065291
2007	baleares	1005184
2007	canarias	1946071
2007	cantabria	568190
2007	castilla_la_mancha	1971222
2007	castilla_leon	2514202
2007	catalunya	7151693
2007	ceuta	74155
2007	comunidad_valenciana	4801628
2007	extremadura	1081875
2007	galicia	2741087
2007	madrid	6074984
