Total Nacional	Comunidades y Ciudades Autónomas	Provincias	Sexo	Periodo	Total
Total Nacional	07 Castilla y León		Mujeres	2023	1.210.118
Total Nacional	07 Castilla y León		Mujeres	2022	1.205.356
Total Nacional	07 Castilla y León		Mujeres	2021	1.210.266
Total Nacional	07 Castilla y León	05 Ávila	Total	2024	160.463
Total Nacional	07 Castilla y León	05 Ávila	Total	2023	159.764
Total Nacional	07 Castilla y León	05 Ávila	Total	2022	159.102
Total Nacional	07 Castilla y León	05 Ávila	Total	2021	158.898
Total Nacional	07 Castilla y León	05 Ávila	Hombres	2024	80.595
Total Nacional	07 Castilla y León	05 Ávila	Hombres	2023	80.310
Total Nacional	07 Castilla y León	05 Ávila	Hombres	2022	80.060
Total Nacional	07 Castilla y León	05 Ávila	Hombres	2021	79.884
Total Nacional	07 Castilla y León	05 Ávila	Mujeres	2024	79.868
Total Nacional	07 Castilla y León	05 Ávila	Mujeres	2023	79.454
Total Nacional	07 Castilla y León	05 Ávila	Mujeres	2022	79.042
Total Nacional	07 Castilla y León	05 Ávila	Mujeres	2021	79.014
Total Nacional	07 Castilla y León	09 Burgos	Total	2024	359.740
Total Nacional	07 Castilla y León	09 Burgos	Total	2023	357.370
Total Nacional	07 Castilla y León	09 Burgos	Total	2022	354.846
Total Nacional	07 Castilla y León	09 Burgos	Total	2021	356.042
Total Nacional	07 Castilla y León	09 Burgos	Hombres	2024	179.824
Total Nacional	07 Castilla y León	09 Burgos	Hombres	2023	178.592
Total Nacional	07 Castilla y León	09 Burgos	Hombres	2022	177.509
Total Nacional	07 Castilla y León	09 Burgos	Hombres	2021	178.040
Total Nacional	07 Castilla y León	09 Burgos	Mujeres	2024	179.916
Total Nacional	07 Castilla y León	09 Burgos	Mujeres	2023	178.778
Total Nacional	07 Castilla y León	09 Burgos	Mujeres	2022	177.337
Total Nacional	07 Castilla y León	09 Burgos	Mujeres	2021	178.002
Total Nacional	07 Castilla y León	24 León	Total	2024	447.802
Total Nacional	07 Castilla y León	24 León	Total	2023	448.573
Total Nacional	07 Castilla y León	24 León	Total	2022	449.270
Total Nacional	07 Castilla y León	24 León	Total	2021	452.435
Total Nacional	07 Castilla y León	24 León	Hombres	2024	217.825
Total Nacional	07 Castilla y León	24 León	Hombres	2023	218.038
Total Nacional	07 Castilla y León	24 León	Hombres	2022	218.430
Total Nacional	07 Castilla y León	24 León	Hombres	2021	220.034
Total Nacional	07 Castilla y León	24 León	Mujeres	2024	229.977
Total Nacional	07 Castilla y León	24 León	Mujeres	2023	230.535
Total Nacional	07 Castilla y León	24 León	Mujeres	2022	230.840
Total Nacional	07 Castilla y León	24 León	Mujeres	2021	232.401
Total Nacional	07 Castilla y León	34 Palencia	Total	2024	158.063
Total Nacional	07 Castilla y León	34 Palencia	Total	2023	157.787
Total Nacional	07 Castilla y León	34 Palencia	Total	2022	157.993
Total Nacional	07 Castilla y León	34 Palencia	Total	2021	159.146
Total Nacional	07 Castilla y León	34 Palencia	Hombres	2024	78.343
Total Nacional	07 Castilla y León	34 Palencia	Hombres	2023	78.125
Total Nacional	07 Castilla y León	34 Palencia	Hombres	2022	78.316
Total Nacional	07 Castilla y León	34 Palencia	Hombres	2021	78.883
Total Nacional	07 Castilla y León	34 Palencia	Mujeres	2024	79.720
Total Nacional	07 Castilla y León	34 Palencia	Mujeres	2023	79.662
Total Nacional	07 Castilla y León	34 Palencia	Mujeres	2022	79.677
Total Nacional	07 Castilla y León	34 Palencia	Mujeres	2021	80.263
Total Nacional	07 Castilla y León	37 Salamanca	Total	2024	327.552
Total Nacional	07 Castilla y León	37 Salamanca	Total	2023	327.089
